DATE	IMPNONMO	IMPTOTAK	IMPTOTAL	IMPTOTAR	IMPTOTAZ	IMPTOTCA	IMPTOTCO	IMPTOTCT	IMPTOTDC	IMPTOTDE	IMPTOTFL	IMPTOTGA	IMPTOTHI	IMPTOTIA	IMPTOTID	IMPTOTIL	IMPTOTIN	IMPTOTKS	IMPTOTKY	IMPTOTLA	IMPTOTMA	IMPTOTMD	IMPTOTME	IMPTOTMI	IMPTOTMN	IMPTOTMO	IMPTOTMS	IMPTOTMT	IMPTOTNC	IMPTOTND	IMPTOTNE	IMPTOTNH	IMPTOTNJ	IMPTOTNM	IMPTOTNV	IMPTOTNY	IMPTOTOH	IMPTOTOK	IMPTOTOR	IMPTOTPA	IMPTOTPR	IMPTOTRI	IMPTOTSC	IMPTOTSD	IMPTOTTN	IMPTOTTX	IMPTOTUT	IMPTOTVA	IMPTOTVI	IMPTOTVT	IMPTOTWA	IMPTOTWI	IMPTOTWV	IMPTOTWY
2008-11-01	46.400000	53.300000	1046.600000	660.400000	1061.100000	25801.200000	754.700000	1504.700000	106.800000	658.500000	4284.400000	4242.100000	326.200000	733.500000	289.200000	9094.900000	2124.300000	709.300000	2465.000000	4486.300000	2434.400000	1302.200000	237.900000	6448.000000	2689.100000	1090.500000	1258.700000	364.000000	3304.200000	206.200000	238.900000	567.100000	8892.300000	239.900000	482.100000	8823.700000	4184.000000	538.400000	1166.500000	5161.200000	1462.500000	551.200000	2034.000000	68.900000	3702.700000	19189.700000	486.200000	1793.500000	713.100000	271.400000	2996.700000	1774.600000	227.700000	201.200000
2008-12-01	57.400000	62.400000	939.900000	393.400000	1200.400000	23003.700000	749.500000	1781.700000	98.600000	1001.800000	4181.200000	3939.500000	373.600000	628.300000	248.000000	7388.300000	1929.100000	677.900000	2207.100000	4841.800000	2503.000000	1302.600000	291.500000	5776.100000	2011.100000	1008.700000	1009.000000	337.500000	3214.600000	166.600000	248.800000	517.100000	8891.000000	178.600000	457.800000	8214.600000	3819.700000	581.100000	1390.100000	5164.100000	1382.900000	597.700000	1834.200000	54.600000	3749.500000	17392.900000	548.100000	1705.700000	669.600000	261.100000	3298.700000	1545.700000	231.000000	150.500000
2009-01-01	52.900000	63.200000	868.700000	437.500000	1063.400000	20004.900000	640.000000	1522.300000	154.000000	714.700000	3916.900000	3804.800000	224.900000	615.200000	219.800000	6962.500000	1886.600000	668.400000	1919.200000	3622.600000	2204.200000	1146.000000	303.300000	3392.600000	1909.500000	971.100000	851.300000	233.200000	3106.900000	197.000000	243.600000	601.400000	7255.600000	158.800000	422.200000	7480.100000	3510.900000	452.600000	1346.500000	4553.100000	1470.500000	344.800000	1740.800000	54.100000	3324.600000	16194.200000	483.200000	1508.700000	547.800000	259.400000	3494.600000	1469.900000	202.500000	143.700000
2009-02-01	41.500000	97.900000	860.200000	417.200000	995.700000	16265.100000	553.200000	1227.800000	105.800000	1109.400000	3430.600000	3512.600000	206.400000	553.300000	240.000000	6225.000000	1657.600000	598.900000	1810.500000	2970.700000	2131.300000	1015.400000	282.500000	4042.800000	1659.000000	880.500000	798.400000	210.200000	3074.600000	183.000000	235.100000	441.900000	6841.800000	127.100000	340.900000	7140.600000	3065.800000	425.300000	990.000000	4302.200000	1525.500000	457.000000	1544.100000	49.500000	3008.500000	13148.800000	329.100000	1442.600000	593.200000	364.700000	2536.600000	1334.900000	166.500000	172.000000
2009-03-01	55.900000	73.300000	880.000000	599.900000	986.400000	20003.800000	716.300000	1414.600000	102.500000	825.100000	3689.500000	4075.900000	271.800000	537.400000	222.500000	6614.300000	2064.900000	687.800000	1982.800000	3288.700000	2093.200000	1159.700000	245.700000	4564.700000	1724.000000	1001.200000	952.400000	210.800000	3255.300000	185.100000	258.200000	471.400000	7194.700000	146.500000	406.800000	7644.000000	3377.800000	483.400000	951.600000	4412.300000	1661.000000	431.400000	1635.600000	39.000000	3260.700000	15675.100000	589.200000	1492.700000	584.900000	228.700000	2965.200000	1449.300000	197.200000	131.900000
2009-04-01	56.500000	78.300000	849.600000	401.900000	1120.100000	19810.400000	720.600000	1328.600000	94.300000	802.200000	3410.700000	3956.200000	363.600000	538.000000	292.500000	6505.700000	1982.700000	664.400000	1873.900000	3376.100000	2052.900000	993.400000	260.700000	4478.000000	1833.800000	884.500000	946.500000	245.300000	2865.700000	157.400000	229.600000	497.300000	6745.300000	127.300000	406.800000	7122.600000	3297.600000	459.700000	996.600000	4360.500000	1771.700000	385.200000	1579.500000	48.800000	3212.300000	16160.800000	539.500000	1455.300000	684.700000	194.600000	2727.700000	1294.800000	193.300000	162.000000
2009-05-01	48.800000	106.400000	879.100000	414.600000	936.900000	20599.900000	615.100000	1618.500000	108.700000	665.100000	3476.700000	3877.100000	259.500000	456.200000	278.600000	6498.400000	1961.900000	865.100000	1732.000000	3534.000000	2075.300000	1012.100000	315.900000	3869.800000	1589.200000	856.100000	1018.200000	214.000000	2714.400000	176.500000	196.700000	538.400000	7015.900000	119.400000	547.900000	6669.000000	3125.700000	426.800000	762.800000	4155.200000	1444.000000	388.700000	1559.600000	55.700000	2893.300000	15438.400000	488.500000	1281.200000	664.600000	205.100000	2695.300000	1237.500000	180.100000	157.200000
2009-06-01	36.700000	88.800000	1052.800000	414.500000	1022.800000	23109.400000	680.000000	1304.000000	99.200000	1012.100000	3793.200000	3769.300000	248.200000	451.500000	250.300000	7266.200000	1982.600000	1028.800000	1989.700000	3880.400000	2209.900000	1016.600000	336.500000	3810.900000	1597.800000	921.100000	1272.500000	323.900000	2919.300000	159.300000	224.400000	636.900000	7797.600000	157.500000	450.200000	7663.100000	3407.100000	415.100000	981.900000	4576.000000	1764.900000	402.200000	1596.000000	54.000000	3348.300000	17131.500000	529.500000	1396.100000	751.100000	249.300000	2717.000000	1234.600000	208.800000	199.900000
2009-07-01	29.800000	183.800000	1061.800000	647.500000	984.200000	23541.700000	713.800000	1316.600000	109.000000	1495.800000	3933.200000	3886.600000	407.600000	482.200000	247.600000	7760.600000	2187.000000	1192.700000	2145.500000	3935.700000	2322.800000	1148.700000	457.600000	4132.100000	1633.000000	1006.300000	1191.500000	347.000000	3266.000000	157.100000	217.900000	514.300000	8393.700000	142.100000	520.300000	8385.700000	3727.300000	432.500000	849.100000	5021.700000	1960.200000	526.800000	1739.400000	47.600000	3645.100000	17999.100000	585.000000	1575.200000	1028.700000	242.800000	3049.200000	1361.900000	231.400000	189.000000
2009-08-01	33.400000	143.900000	1076.400000	377.100000	804.500000	23973.300000	719.800000	1297.800000	78.900000	1397.700000	3608.700000	3733.700000	318.700000	475.500000	258.700000	7113.200000	2191.000000	1131.400000	2074.900000	3347.000000	2217.900000	1012.900000	357.000000	5238.400000	1654.000000	872.800000	1258.900000	363.400000	3141.300000	144.900000	211.100000	584.500000	8381.700000	147.300000	411.100000	7294.800000	3696.700000	434.500000	1033.500000	4805.500000	1522.600000	542.700000	1707.200000	42.500000	3511.500000	17352.900000	514.600000	1564.100000	682.400000	242.900000	2887.900000	1427.500000	235.200000	191.900000
2009-09-01	36.500000	143.800000	1277.900000	494.000000	931.100000	25511.400000	703.200000	1343.000000	91.900000	1244.200000	3940.400000	4060.500000	246.700000	500.800000	295.100000	7488.500000	2351.500000	1117.900000	2362.300000	4228.000000	2244.700000	1225.100000	445.100000	6315.400000	1836.400000	961.100000	1158.600000	359.400000	3092.900000	133.200000	221.100000	412.300000	8384.800000	219.100000	438.700000	7986.100000	3798.300000	507.800000	1100.700000	5046.900000	1461.600000	414.100000	1734.000000	44.600000	3615.900000	19331.500000	574.000000	1802.700000	869.300000	243.000000	3412.300000	1410.900000	225.900000	208.900000
2009-10-01	44.700000	119.300000	1119.000000	610.300000	1137.900000	26916.100000	797.200000	1336.500000	78.900000	1282.200000	4079.900000	4298.300000	433.400000	478.800000	293.600000	7911.900000	2477.400000	1122.000000	2572.200000	3500.100000	2283.500000	1176.900000	338.500000	6899.700000	2087.900000	991.000000	1328.700000	321.400000	3330.700000	144.700000	230.200000	561.900000	9166.300000	236.100000	438.200000	8879.800000	3977.400000	402.700000	900.700000	5585.700000	1532.500000	529.600000	1946.200000	42.200000	3744.600000	18547.600000	671.800000	1823.700000	816.500000	305.700000	3655.100000	1585.400000	262.900000	201.200000
2009-11-01	29.300000	73.100000	1081.500000	475.100000	1168.800000	25362.600000	832.400000	1281.300000	73.700000	1023.500000	4333.700000	4188.000000	464.000000	492.900000	292.700000	7899.800000	2421.300000	1516.000000	2480.600000	3896.600000	2191.700000	1196.100000	309.800000	6230.200000	1963.100000	1025.500000	1379.300000	361.800000	3276.400000	169.800000	209.400000	485.300000	8404.800000	232.900000	444.800000	8459.400000	4165.500000	393.700000	1048.700000	4986.000000	1184.200000	463.100000	2058.900000	52.600000	3723.300000	18891.700000	528.500000	1694.000000	937.400000	286.000000	3872.700000	1387.500000	233.200000	88.600000
2009-12-01	40.000000	70.500000	1235.300000	409.400000	1149.300000	25315.800000	935.500000	1603.100000	59.000000	831.000000	4044.400000	4197.300000	445.000000	524.400000	303.400000	8215.100000	2122.200000	1297.900000	2403.000000	3927.700000	2427.000000	1238.600000	627.000000	6773.600000	1704.500000	1032.200000	1193.300000	366.000000	3600.800000	175.200000	205.300000	576.500000	8785.300000	186.000000	452.200000	8183.800000	3762.100000	466.400000	982.300000	6094.400000	1230.000000	599.100000	1989.700000	46.300000	3922.500000	19839.500000	732.900000	1619.400000	990.000000	284.200000	3633.800000	1338.000000	206.700000	149.900000
2010-01-01	32.800000	72.600000	1358.800000	408.300000	1250.400000	23043.400000	798.600000	1455.200000	57.400000	482.500000	4249.600000	3908.200000	241.800000	528.300000	292.000000	7418.300000	2375.300000	1032.100000	2013.400000	4299.500000	2375.600000	1211.300000	384.700000	5759.400000	1642.700000	934.900000	1247.900000	345.900000	3531.800000	167.900000	193.400000	539.200000	8213.100000	201.200000	401.300000	8099.400000	3566.800000	429.200000	890.100000	5370.900000	1338.100000	522.400000	1783.900000	51.000000	3487.300000	19019.000000	638.000000	1490.400000	544.900000	268.200000	3363.000000	1446.400000	233.600000	88.700000
2010-02-01	36.300000	60.400000	1048.000000	355.000000	1219.300000	22530.200000	821.300000	1283.000000	63.800000	1021.900000	3962.700000	4058.700000	260.800000	505.200000	269.700000	7448.800000	2547.500000	1063.400000	1949.200000	3732.100000	2261.600000	1330.400000	387.900000	6698.200000	1535.900000	921.300000	1269.900000	371.000000	2936.200000	187.600000	223.200000	601.500000	7793.300000	164.500000	355.400000	7923.800000	3572.400000	414.300000	944.200000	5059.300000	1409.800000	497.300000	1857.400000	53.400000	3560.700000	18360.100000	661.400000	1644.000000	831.200000	254.800000	3277.500000	1392.100000	244.900000	89.300000
2010-03-01	44.400000	91.100000	1289.400000	621.100000	1464.700000	24915.000000	990.900000	1438.400000	58.900000	896.300000	4808.800000	4824.800000	416.300000	618.900000	358.100000	8853.000000	3016.500000	1302.700000	2192.000000	4769.200000	2500.300000	1541.200000	331.400000	7887.200000	1688.800000	1007.300000	1354.800000	386.700000	3254.200000	220.100000	266.900000	671.900000	9662.100000	219.100000	427.300000	9433.500000	4403.000000	493.300000	1061.700000	6536.500000	1712.100000	583.600000	1991.600000	63.600000	4052.100000	22432.700000	588.400000	1713.700000	1087.300000	288.400000	3444.200000	1630.600000	308.100000	111.900000
2010-04-01	56.400000	73.300000	1176.900000	677.200000	1313.300000	25922.600000	949.300000	1515.800000	56.700000	634.800000	4338.400000	4737.900000	478.900000	566.500000	348.500000	8168.300000	2546.800000	1210.700000	2130.100000	5342.100000	2340.600000	1564.100000	329.600000	7314.700000	1726.300000	1056.300000	1377.100000	445.600000	3163.600000	257.300000	246.300000	748.400000	8579.200000	260.600000	480.700000	8829.800000	4128.900000	520.000000	1040.000000	5958.300000	1715.000000	671.000000	2051.600000	68.400000	3685.200000	22098.400000	619.000000	1588.600000	1003.800000	293.400000	3467.400000	1496.100000	250.800000	158.600000
2010-05-01	60.400000	90.100000	1214.100000	513.000000	1307.200000	26766.000000	918.300000	1594.900000	72.900000	635.100000	4532.900000	4842.300000	435.800000	542.300000	344.000000	8522.300000	2486.200000	855.800000	2431.100000	4997.400000	2409.200000	1614.200000	306.700000	7448.300000	2277.800000	1083.700000	1468.900000	434.000000	3265.600000	224.000000	250.200000	927.800000	9343.200000	276.500000	521.000000	8795.200000	4334.000000	552.300000	1086.300000	6184.800000	1666.500000	518.400000	2046.900000	72.400000	3726.300000	22001.700000	559.200000	1574.200000	1054.400000	254.100000	3425.500000	1555.600000	251.800000	181.100000
2010-06-01	41.200000	164.900000	1234.900000	611.500000	1450.500000	29905.600000	931.200000	1510.900000	48.700000	838.900000	4765.500000	5128.000000	442.800000	608.700000	359.600000	9112.800000	2884.100000	830.100000	2815.900000	5764.700000	2705.100000	1843.300000	375.000000	8229.000000	2428.000000	1133.900000	1376.800000	360.400000	3930.300000	254.500000	251.900000	765.800000	9901.100000	282.800000	532.600000	9803.400000	4807.900000	551.900000	1124.600000	6719.200000	1627.300000	590.500000	2322.500000	54.900000	4079.200000	22629.200000	773.700000	1788.400000	800.600000	292.800000	3745.300000	1647.400000	279.300000	197.200000
2010-07-01	38.400000	174.800000	1302.600000	586.200000	1170.500000	28501.800000	958.500000	1585.300000	85.400000	1102.900000	4731.900000	5503.200000	495.600000	600.500000	358.900000	9240.000000	2830.800000	806.900000	2902.300000	5549.800000	2662.600000	1803.700000	278.100000	5666.400000	2312.800000	1122.000000	1228.100000	371.600000	3672.600000	188.100000	235.100000	790.100000	9854.600000	253.300000	516.200000	10116.600000	4599.000000	601.600000	1252.600000	6693.800000	1611.500000	614.300000	2239.600000	61.800000	4111.000000	22966.500000	623.100000	1749.800000	691.000000	291.200000	3279.700000	1628.400000	280.600000	149.900000
