DATE,EXPTOTIL
1995-08-01,1910.7
1995-09-01,1853.6
1995-10-01,1963.1
1995-11-01,1829.7
1995-12-01,1851.7
1996-01-01,1812.5
1996-02-01,1855.7
1996-03-01,2230.3
1996-04-01,2022.4
1996-05-01,2051.8
1996-06-01,1984.8
1996-07-01,1876.2
1996-08-01,1942.3
1996-09-01,1992.1
1996-10-01,2183.0
1996-11-01,2105.9
1996-12-01,2118.8
1997-01-01,1973.2
1997-02-01,1990.6
1997-03-01,2341.7
1997-04-01,2213.2
1997-05-01,2273.9
1997-06-01,2237.5
1997-07-01,2133.7
1997-08-01,2297.5
1997-09-01,2168.3
1997-10-01,2423.7
1997-11-01,2224.5
1997-12-01,2177.2
1998-01-01,2125.3
1998-02-01,2460.3
1998-03-01,2488.4
1998-04-01,2530.9
1998-05-01,2551.6
1998-06-01,2524.8
1998-07-01,2142.6
1998-08-01,2249.5
1998-09-01,2503.6
1998-10-01,2543.8
1998-11-01,2427.1
1998-12-01,2366.4
1999-01-01,2072.9
1999-02-01,2320.0
1999-03-01,2636.2
1999-04-01,2659.1
1999-05-01,2385.7
1999-06-01,2455.1
1999-07-01,2272.5
1999-08-01,2288.3
1999-09-01,2400.4
1999-10-01,2694.8
1999-11-01,2619.0
1999-12-01,2628.2
2000-01-01,2151.3
2000-02-01,2601.0
2000-03-01,2885.9
2000-04-01,2587.3
2000-05-01,2648.6
2000-06-01,2749.3
2000-07-01,2346.0
2000-08-01,2593.0
2000-09-01,2591.1
2000-10-01,2843.9
2000-11-01,2878.6
2000-12-01,2561.4
2001-01-01,2362.3
2001-02-01,2541.6
2001-03-01,2924.4
2001-04-01,2709.6
2001-05-01,2747.3
2001-06-01,2735.2
2001-07-01,2271.1
2001-08-01,2450.1
2001-09-01,2272.3
2001-10-01,2496.0
2001-11-01,2562.6
2001-12-01,2361.9
2002-01-01,1964.1
2002-02-01,1888.6
2002-03-01,2238.5
2002-04-01,2157.5
2002-05-01,2228.1
2002-06-01,2219.6
2002-07-01,2063.4
2002-08-01,2211.2
2002-09-01,2107.1
2002-10-01,2262.3
2002-11-01,2294.7
2002-12-01,2051.3
2003-01-01,1937.7
2003-02-01,1992.2
2003-03-01,2276.4
2003-04-01,2212.3
2003-05-01,2346.4
2003-06-01,2246.8
2003-07-01,2102.3
2003-08-01,2082.4
2003-09-01,2207.1
2003-10-01,2499.8
2003-11-01,2208.4
2003-12-01,2361.3
2004-01-01,2178.1
2004-02-01,2212.8
2004-03-01,2654.7
2004-04-01,2491.4
2004-05-01,2641.0
2004-06-01,2350.9
2004-07-01,2474.7
2004-08-01,2614.5
2004-09-01,2503.6
2004-10-01,2733.1
2004-11-01,2590.8
2004-12-01,2702.8
2005-01-01,2511.6
2005-02-01,2591.9
2005-03-01,3231.6
2005-04-01,3016.4
2005-05-01,3142.1
2005-06-01,3158.8
2005-07-01,2776.1
2005-08-01,2944.5
2005-09-01,2997.5
2005-10-01,3289.8
2005-11-01,3017.3
2005-12-01,3190.7
2006-01-01,3030.1
2006-02-01,3018.6
2006-03-01,3686.1
2006-04-01,3434.9
2006-05-01,3767.6
2006-06-01,3620.0
2006-07-01,3244.7
2006-08-01,3526.1
2006-09-01,3559.0
2006-10-01,3824.8
2006-11-01,3723.8
2006-12-01,3648.9
2007-01-01,3655.2
2007-02-01,3438.8
2007-03-01,4158.9
2007-04-01,3811.1
2007-05-01,4347.4
2007-06-01,4248.4
2007-07-01,4081.7
2007-08-01,4136.1
2007-09-01,4122.4
2007-10-01,4522.3
2007-11-01,4120.7
2007-12-01,4087.1
2008-01-01,4002.3
2008-02-01,4118.3
2008-03-01,4510.4
2008-04-01,4556.8
2008-05-01,4816.3
2008-06-01,4474.2
2008-07-01,4472.4
2008-08-01,4738.9
2008-09-01,4827.8
2008-10-01,4784.1
2008-11-01,4449.9
2008-12-01,3693.1
2009-01-01,3289.7
2009-02-01,3454.5
2009-03-01,3680.7
2009-04-01,3202.6
2009-05-01,3333.4
2009-06-01,3352.6
2009-07-01,3271.0
2009-08-01,3395.4
2009-09-01,3484.0
2009-10-01,3706.6
2009-11-01,3692.0
2009-12-01,3650.9
2010-01-01,3488.3
2010-02-01,3655.5
2010-03-01,4156.7
2010-04-01,4034.8
2010-05-01,4165.9
2010-06-01,4369.1
