DATE,EXPTOTOH
2017-05-01,4135.896511
2017-06-01,4369.475334
2017-07-01,3714.09742
2017-08-01,4304.190829
2017-09-01,4181.0102
2017-10-01,4510.640988
2017-11-01,4325.715758
2017-12-01,4155.713432
2018-01-01,4228.113642
2018-02-01,4173.04838
2018-03-01,4975.865135
2018-04-01,4272.828754
2018-05-01,4584.312391
2018-06-01,5058.313021
2018-07-01,4207.219242
2018-08-01,4796.098345
2018-09-01,4647.316228
2018-10-01,4758.694664
2018-11-01,4342.712382
2018-12-01,4359.306965
2019-01-01,4082.005171
2019-02-01,4072.732816
2019-03-01,4981.143932
2019-04-01,4427.989343
2019-05-01,4736.118793
2019-06-01,4575.223456
2019-07-01,4195.588216
2019-08-01,4634.413396
2019-09-01,4338.18588
2019-10-01,4434.465086
