DATE,EXPTOTIN
2017-07-01,2929.374365
2017-08-01,3309.800288
2017-09-01,3081.696636
2017-10-01,3192.454824
2017-11-01,3188.866373
2017-12-01,3112.679606
2018-01-01,3049.763664
2018-02-01,3050.512881
2018-03-01,3475.046968
2018-04-01,3260.548099
2018-05-01,3532.702446
2018-06-01,3571.065712
2018-07-01,3250.445294
2018-08-01,3204.460572
2018-09-01,3107.603585
2018-10-01,3665.948224
2018-11-01,3246.89726
2018-12-01,2915.305164
2019-01-01,3095.578567
2019-02-01,3076.042517
2019-03-01,3610.47891
2019-04-01,3339.377405
2019-05-01,3482.169854
2019-06-01,3508.064057
2019-07-01,3254.252714
2019-08-01,3566.293985
2019-09-01,3159.315503
2019-10-01,3218.668595
