DATE,EXPTOTMN
2017-12-01,1782.479946
2018-01-01,1698.148336
2018-02-01,1614.460723
2018-03-01,1969.142797
2018-04-01,1952.99128
2018-05-01,1953.082557
2018-06-01,2029.591521
2018-07-01,1861.786627
2018-08-01,1944.479995
2018-09-01,1933.787168
2018-10-01,1979.803059
2018-11-01,1850.272213
2018-12-01,1889.433342
2019-01-01,1744.026706
2019-02-01,1629.224441
2019-03-01,1994.866529
2019-04-01,1939.731888
2019-05-01,1884.772749
2019-06-01,1847.328173
2019-07-01,1841.588301
2019-08-01,1932.722499
2019-09-01,1839.087144
2019-10-01,1903.612565
