DATE,EXPTOTWI
2017-12-01,1776.940678
2018-01-01,1705.281191
2018-02-01,1657.08443
2018-03-01,2096.116746
2018-04-01,1948.971681
2018-05-01,2095.819645
2018-06-01,2058.887735
2018-07-01,1812.535965
2018-08-01,1935.637069
2018-09-01,1826.240199
2018-10-01,1902.701086
2018-11-01,1822.635123
2018-12-01,1859.404103
2019-01-01,1691.778297
2019-02-01,1635.991412
2019-03-01,2094.674442
2019-04-01,1831.561841
2019-05-01,1878.257134
2019-06-01,1836.413314
2019-07-01,1728.502117
2019-08-01,1810.372913
2019-09-01,1808.713001
2019-10-01,1859.242416
