DATE,EXPTOTKS
2018-11-01,1002.486768
2018-12-01,953.2986
2019-01-01,825.669576
2019-02-01,830.009101
2019-03-01,1023.403667
2019-04-01,1046.352268
2019-05-01,1023.20402
2019-06-01,1001.196228
2019-07-01,985.701772
2019-08-01,964.983845
2019-09-01,1071.21293
2019-10-01,970.466214
