DATE,EXPTOTMD
2019-01-01,1004.205077
2019-02-01,999.659666
2019-03-01,1127.366028
2019-04-01,1014.086585
2019-05-01,1046.430667
2019-06-01,1126.534566
2019-07-01,1103.837288
2019-08-01,1083.21493
2019-09-01,1072.040395
2019-10-01,1269.718346
