DATE,EXPTOTTN
2017-11-01,2805.103654
2017-12-01,2717.765614
2018-01-01,2393.634439
2018-02-01,2620.069883
2018-03-01,2924.293309
2018-04-01,2658.367313
2018-05-01,2995.959671
2018-06-01,2887.283886
2018-07-01,2731.556517
2018-08-01,2911.822551
2018-09-01,2683.119561
2018-10-01,2865.918742
2018-11-01,2569.569215
2018-12-01,2468.937824
2019-01-01,2507.112824
2019-02-01,2481.640732
2019-03-01,2954.793335
2019-04-01,2619.854433
2019-05-01,2726.93783
2019-06-01,2551.435558
2019-07-01,2533.148995
2019-08-01,2736.942541
2019-09-01,2507.903202
2019-10-01,2688.885519
