DATE,EXPTOTGA
2017-06-01,3100.241549
2017-07-01,2931.10675
2017-08-01,3167.669462
2017-09-01,3313.757649
2017-10-01,3268.107422
2017-11-01,3103.799009
2017-12-01,3435.545369
2018-01-01,2712.578024
2018-02-01,3214.101511
2018-03-01,3814.682056
2018-04-01,3411.199024
2018-05-01,3456.316151
2018-06-01,3466.596081
2018-07-01,3344.07842
2018-08-01,3483.101998
2018-09-01,3444.722449
2018-10-01,3319.014346
2018-11-01,3466.112904
2018-12-01,3480.819018
2019-01-01,3037.382931
2019-02-01,3121.069669
2019-03-01,4033.861855
2019-04-01,3346.861604
2019-05-01,3688.257065
2019-06-01,3657.092617
2019-07-01,3204.649242
2019-08-01,3324.047549
2019-09-01,3674.154552
2019-10-01,3384.724007
