DATE,EXPTOTVA
2017-10-01,1462.691588
2017-11-01,1482.700204
2017-12-01,1446.805837
2018-01-01,1367.01137
2018-02-01,1621.410788
2018-03-01,1656.196964
2018-04-01,1521.112308
2018-05-01,1468.045758
2018-06-01,1710.689331
2018-07-01,1523.386385
2018-08-01,1529.965563
2018-09-01,1309.13013
2018-10-01,1561.948127
2018-11-01,1573.59571
2018-12-01,1510.372681
2019-01-01,1461.128396
2019-02-01,1284.367884
2019-03-01,1601.196117
2019-04-01,1522.638733
2019-05-01,1666.678386
2019-06-01,1573.402901
2019-07-01,1567.397818
2019-08-01,1613.468773
2019-09-01,1368.420343
2019-10-01,1457.44541
