DATE,EXPTOTPA
2017-05-01,3260.960042
2017-06-01,3206.091088
2017-07-01,3021.728228
2017-08-01,3415.615245
2017-09-01,3407.680582
2017-10-01,3441.870988
2017-11-01,3137.470539
2017-12-01,3160.405367
2018-01-01,3223.346362
2018-02-01,3185.371675
2018-03-01,3483.259417
2018-04-01,3575.145627
2018-05-01,3461.939984
2018-06-01,3361.472381
2018-07-01,3345.764239
2018-08-01,3677.500001
2018-09-01,3416.081867
2018-10-01,3683.721309
2018-11-01,3272.481607
2018-12-01,3506.551368
2019-01-01,3351.120127
2019-02-01,3294.439479
2019-03-01,4167.148963
2019-04-01,3683.755033
2019-05-01,3814.736079
2019-06-01,3745.153083
2019-07-01,3203.382433
2019-08-01,3709.92895
2019-09-01,3544.696569
2019-10-01,3504.728977
