DATE,EXPTOTSC
2017-12-01,2869.818465
2018-01-01,2333.540275
2018-02-01,2685.375327
2018-03-01,3734.004465
2018-04-01,2791.224072
2018-05-01,3470.897303
2018-06-01,3110.547796
2018-07-01,2390.556289
2018-08-01,2176.848121
2018-09-01,2456.138017
2018-10-01,3739.070799
2018-11-01,2920.119252
2018-12-01,2820.239916
2019-01-01,2497.850281
2019-02-01,3030.365356
2019-03-01,3491.790144
2019-04-01,3060.47891
2019-05-01,3823.358034
2019-06-01,3586.381435
2019-07-01,3581.564236
2019-08-01,3585.326009
2019-09-01,3969.390167
2019-10-01,3828.990642
