DATE,EXPTOTMI
2017-05-01,5363.596545
2017-06-01,5270.714802
2017-07-01,4439.545481
2017-08-01,5019.157911
2017-09-01,5234.572165
2017-10-01,5104.257079
2017-11-01,5188.781353
2017-12-01,4719.71896
2018-01-01,4354.722291
2018-02-01,4579.181658
2018-03-01,5411.979922
2018-04-01,5044.586745
2018-05-01,5149.829984
2018-06-01,5196.562766
2018-07-01,4361.675552
2018-08-01,5087.721504
2018-09-01,4762.813876
2018-10-01,4847.776294
2018-11-01,4671.259095
2018-12-01,4566.663488
2019-01-01,4172.514051
2019-02-01,4673.185057
2019-03-01,5380.393983
2019-04-01,4715.501299
2019-05-01,4977.163044
2019-06-01,4944.845179
2019-07-01,4123.767132
2019-08-01,4790.886224
2019-09-01,4573.255829
2019-10-01,4599.777742
