DATE	AKBPPRIV	ALBPPRIV	ARBPPRIV	AZBPPRIV	CABPPRIV	COBPPRIV	CTBPPRIV	DCBPPRIV	DEBPPRIV	FLBPPRIV	GABPPRIV	HIBPPRIV	IABPPRIV	IDBPPRIV	ILBPPRIV	INBPPRIV	KSBPPRIV	KYBPPRIV	LABPPRIV	MABPPRIV	MDBPPRIV	MEBPPRIV	MIBPPRIV	MNBPPRIV	MOBPPRIV	MSBPPRIV	MTBPPRIV	NCBPPRIV	NDBPPRIV	NEBPPRIV	NHBPPRIV	NJBPPRIV	NMBPPRIV	NVBPPRIV	NYBPPRIV	OHBPPRIV	OKBPPRIV	ORBPPRIV	PABPPRIV	RIBPPRIV	SCBPPRIV	SDBPPRIV	TNBPPRIV	TXBPPRIV	UTBPPRIV	VABPPRIV	VTBPPRIV	WABPPRIV	WIBPPRIV	WVBPPRIV	WYBPPRIV
2016-09-01	168	1265	598	3514	8355	3568	631	1098	496	9987	3699	349	1328	837	2223	1705	732	966	1980	2006	1088	348	2492	2563	1581	564	730	5124	480	730	334	1972	410	1164	4386	2445	837	1520	2220	91	2759	545	2704	13805	1918	2605	165	4483	1758	235	162
2016-10-01	117	1080	813	2174	8274	4076	524	679	500	10156	4730	178	1182	918	3302	1815	611	999	1257	1052	987	354	2360	2401	1845	554	426	4786	481	819	391	1594	314	1044	2642	1811	927	1529	1989	99	2223	454	2923	12128	2764	1709	167	4078	2038	284	144
2016-11-01	99	927	513	2958	7830	3644	245	21	473	8240	3540	322	1448	897	1327	1442	522	1160	1037	1110	1004	316	1814	2361	1786	619	227	4441	291	573	381	1847	575	932	2773	1704	670	1514	1881	96	2452	347	2230	12680	2468	2210	126	3649	1197	206	129
2016-12-01	94	951	762	3401	10450	2864	226	369	450	9858	4269	197	848	650	1222	1082	386	712	1074	935	991	314	1171	2081	1475	549	233	3792	150	569	387	2536	335	1914	3367	1301	724	1066	1469	109	2223	249	3304	11678	1411	2224	122	3702	926	151	87
2017-01-01	70	1083	754	2484	5376	3146	317	155	396	10023	4423	252	416	413	751	1124	497	698	1121	784	1042	208	1208	1521	1070	920	134	4304	65	351	172	2104	280	1314	4548	2037	964	1464	1353	84	2633	257	2322	15236	1380	2282	66	2777	679	206	63
2017-02-01	93	1113	822	2304	6298	2948	175	245	443	8368	3968	200	778	837	1830	1463	796	839	1152	676	1034	241	1733	1433	1100	1036	211	4898	171	719	236	1796	335	1092	1686	1384	954	1114	1425	63	2682	299	2911	13247	1396	1890	56	2973	1031	167	111
2017-03-01	105	1393	785	3595	10161	3471	398	277	626	9590	5152	303	1378	1027	1667	1478	612	1051	1483	2009	1710	315	2167	2441	1404	667	511	6641	138	837	239	1685	396	1437	3310	1757	982	1541	2519	105	2975	466	3919	16550	2554	3072	240	3390	1508	302	160
2017-04-01	182	1035	1065	3255	9622	3986	253	374	565	10962	3524	186	1065	1178	2859	1792	701	933	1178	876	1380	495	2085	1973	1373	760	392	3877	416	588	311	1583	386	1771	4168	1761	947	1071	1777	65	2477	535	2799	13677	1910	2421	123	3838	1642	245	196
2017-05-01	164	1278	698	3716	9599	2865	402	318	587	10608	4158	382	1149	1301	1493	2016	774	1403	1335	1840	1856	365	2590	2215	1817	675	410	5315	505	1010	296	3008	451	1812	2881	2030	1352	1798	2599	113	3086	414	3711	15578	1974	2510	180	3947	1958	268	186
2017-06-01	185	1343	1072	3399	14218	4640	360	389	726	12365	4704	358	1213	1387	3489	2355	825	1240	1313	1863	1565	489	2843	2566	1375	606	829	5410	337	744	263	2174	598	1818	3222	3086	1026	1873	2288	109	3110	539	4173	17188	2198	3445	213	3955	1951	251	189
2017-07-01	119	1159	1087	2487	7950	3089	430	455	608	9896	4311	276	915	928	1419	1551	607	939	1137	1970	1428	412	2113	1590	1133	665	383	6242	309	1104	352	2462	424	1576	2990	1929	773	1800	1812	106	3162	362	3192	12493	2421	2669	139	3593	1694	204	140
